abelsonite	C31H32N4Ni
abenakiite-(ce)	Na26(Ce,Nd,La,Pr,Th,Sm)6(SiO3)6(PO4)6(CO3)6(SO2)O
abernathyite	K2(UO2)2(AsO4)2
abhurite	Sn21Cl16(OH)14O6
abswurmbachite	CuMn6SiO12
acanthite	Ag2S
acetamide	CH3CONH2
actinolite	[]Ca2(Mg,Fe)5Si8O22(OH)2
acuminite	SrAlF4(OH).H2O
adamite	Zn2(AsO4)(OH)
adamsite-(y)	NaY(CO3)2
adelite	CaMg(AsO4)(OH)
admontite	MgB6O10
aegirine	NaFeSi2O6
aenigmatite	Na2Fe5TiSi6O20
aerinite	(Ca,Na)4Mg3(Fe,Fe,Al)3[Si13,5Al4,5O42](OH)6.nH2O
aerugite	Ni17As6O32
aeschynite-(ce)	(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6
aeschynite-(nd)	(Nd,Ce,Ca)(Ti,Nb)2(O,OH)6
aeschynite-(y)	(Y,Ca,Fe,Th)(Ti,Nb)2(O,OH)6
afghanite	(Na,Ca,K)8(Si,Al)12O24(SO4,Cl,CO3)3.H2O
afwillite	Ca3Si2O4(OH)6
agardite-(la)	(La,Ca)Cu6(AsO4)3(OH)6
agardite-(y)	(Y,Ca)Cu6(AsO4)3(OH)6
agrellite	NaCa2Si4O10F
agrinierite	K2(Ca,Sr)(UO2)6O6(OH)4
aguilarite	Ag4SeS
aheylite	(Fe,Zn)Al6(PO4)4(OH)8
ahlfeldite	(Ni,Co)SeO3
aikinite	PbCuBiS3
ajoite	(K,Na)Cu7AlSi9O24(OH)6
akaganeite	beta-Fe(O,OH,Cl)
akatoreite	(Mn,Fe)9Al2Si8O24(OH)8
akdalaite	4Al2O3.H2O
akermanite	Ca2MgSi2O7
akhtenskite	epsilon-MnO2
akimotoite	(Mg,Fe)(SiO3)
akrochordite	Mn4Mg(AsO4)2(OH)4
aksaite	MgB6O7(OH)6
aktashite	Cu6Hg3As4S12
alabandite	MnS
alamosite	PbSiO3
alarsite	AlAsO4
albite	NaAlSi3O8
albrechtschraufite	Ca4Mg(UO2)2(CO3)6F2
aldermanite	Mg5Al12(PO4)8(OH)22
aleksite	PbBi2Te2S2
alforsite	Ba5(PO4)3Cl
algodonite	Cu6As
aliettite	Ca0,2Mg6(Si,Al)8O20(OH)4
allabogdanite	(Fe,Ni)2P
allactite	Mn7(AsO4)2(OH)8
allanite-(ce)	(Ce,Ca,Y)2(Al,Fe,Fe)3(SiO4)3(OH)
allanite-(y)	Ca(Y,Ce,La)(Al,Fe,Fe)3(SiO4)3(OH)
allargentum	Ag1-xSbx
alleghanyite	Mn5(SiO4)2(OH)2
alloclasite	(Co,Fe)AsS
allophane	Al2O3.(SiO2)1,3-2.(H2O)2,5-3
alluaivite	Na19(Ca,Mn)6(Ti,Nb)3(Si3O9)2(Si10O28)2Cl
